Page	Ranking
9556	3.79194944793873E-4
6011	3.791320216530382E-4
8825	3.7903198285629873E-4
1825	3.7876146788927813E-4
9216	3.7854672987568756E-4
4734	3.7851581601078434E-4
7395	3.783580309010782E-4
6512	3.7834964146647E-4
6374	3.781377156067351E-4
4538	3.7796103722553516E-4
9085	3.7735105633469824E-4
3350	3.771199952944157E-4
9335	3.7495466401173843E-4
3689	3.748150703034334E-4
7006	3.747581049902544E-4
9055	3.7452362440480117E-4
1370	3.744728485941569E-4
8877	3.737176749403675E-4
4752	3.7343426420852297E-4
8179	3.7297687891768143E-4
1309	3.7296140715698987E-4
807	3.7273126201823367E-4
2788	3.7261755181765516E-4
209	3.7245217391868973E-4
1804	3.720400543697971E-4
2884	3.7195233402355187E-4
9978	3.713157475821671E-4
5649	3.7105703718141224E-4
2109	3.707531040815093E-4
9313	3.706632401843777E-4
4818	3.7013579189545823E-4
4751	3.698683233587444E-4
9286	3.6925577015941414E-4
3161	3.691529564528805E-4
7147	3.690532727175382E-4
5755	3.6893807501755475E-4
1732	3.686956752265474E-4
1548	3.686283464400288E-4
5328	3.684379056202842E-4
9402	3.6840705395099375E-4
1896	3.6830771107488675E-4
5374	3.6824191322073514E-4
3762	3.6819959128875867E-4
5459	3.680013070789723E-4
640	3.675533452084545E-4
7471	3.6741726938974563E-4
4676	3.674040638184006E-4
7348	3.66400741255376E-4
2622	3.6630143934973436E-4
676	3.662888946669411E-4
2479	3.662531837089208E-4
4392	3.6611533614638707E-4
260	3.6609352874614627E-4
9434	3.6597325833287724E-4
970	3.6581196359771704E-4
1243	3.651231701939567E-4
7416	3.647666460649787E-4
4043	3.647372829099086E-4
1369	3.641875063995863E-4
9550	3.639833017857246E-4
3541	3.6394796509958206E-4
3345	3.6389290598840386E-4
7882	3.637205535082652E-4
1774	3.6367112173407544E-4
7580	3.630873920871205E-4
3019	3.629576570610546E-4
3824	3.6280491257154865E-4
1230	3.626272010813647E-4
8102	3.6240393928665477E-4
3942	3.6220784470322574E-4
1037	3.6219355318723893E-4
1872	3.6213444251936676E-4
288	3.620871582138604E-4
8762	3.6202383899187315E-4
28	3.6176862896573035E-4
2267	3.6157053763694E-4
2217	3.613706443917952E-4
9322	3.61174522694223E-4
2672	3.6114179459618983E-4
415	3.610196086012802E-4
3233	3.609261977539877E-4
6458	3.609220570238237E-4
5584	3.6072027385786675E-4
8937	3.6063220288019544E-4
2933	3.6062892523591034E-4
2620	3.605772790915067E-4
4106	3.604378840747783E-4
7704	3.6014616182144117E-4
3322	3.598075100835552E-4
7643	3.5941138766883856E-4
9551	3.5933595897144773E-4
5518	3.591911515038986E-4
7249	3.590801610570573E-4
2022	3.587855316947976E-4
3488	3.585568328624299E-4
8390	3.5851125335644986E-4
4475	3.5834466745006556E-4
8411	3.582341593065749E-4
8381	3.5812053620488374E-4
8331	3.580227936777094E-4
7409	3.57990443645935E-4
1349	3.577907287872801E-4
1335	3.574914497309512E-4
3499	3.57308992982333E-4
9393	3.568336926785325E-4
4161	3.568303414709504E-4
4721	3.567313123365127E-4
5291	3.5659216015456477E-4
450	3.5650677623973463E-4
5122	3.564907127585266E-4
5842	3.564008864087603E-4
4133	3.563510944049703E-4
9869	3.5620740972900814E-4
7079	3.55458385649854E-4
892	3.554496381629514E-4
7129	3.553971074767681E-4
1282	3.552108182185289E-4
4794	3.5516034237971674E-4
6682	3.5493283187361244E-4
2770	3.547849380597354E-4
7921	3.5425130417624635E-4
2461	3.5425047327568044E-4
4810	3.5409339778688827E-4
5549	3.5380495251815657E-4
7799	3.5372813193605435E-4
636	3.536140003337568E-4
5194	3.534669126213046E-4
1506	3.5286579313205635E-4
4549	3.527153379202389E-4
7462	3.525498368885046E-4
4141	3.523838909396574E-4
6270	3.5229662380950046E-4
2986	3.521051405747102E-4
7829	3.5210442059130793E-4
3545	3.520968431719364E-4
3859	3.5166974945803283E-4
1869	3.515845930532129E-4
3721	3.514952645887937E-4
8561	3.513358657241723E-4
3154	3.5122702114485124E-4
1778	3.512221960676566E-4
6610	3.510743119981009E-4
3164	3.509871216091116E-4
6847	3.5070720715325274E-4
4967	3.505451457756375E-4
9206	3.5022166589523967E-4
8582	3.50016622489946E-4
1127	3.4991695298555264E-4
4689	3.4991562721437285E-4
654	3.4986748634494757E-4
2573	3.4976731679289006E-4
4580	3.497403169569702E-4
3452	3.492283394644921E-4
5057	3.491812018801039E-4
6275	3.488280845747559E-4
904	3.4877625844188234E-4
9991	3.487535922177985E-4
4541	3.4818184318010406E-4
9028	3.478876588517856E-4
22	3.4779154621281046E-4
5799	3.477605913146093E-4
3633	3.4739841565144605E-4
7178	3.473774174255147E-4
1233	3.470983464616223E-4
1916	3.468711947798999E-4
3967	3.4681399481371487E-4
6307	3.468089835864303E-4
7526	3.46557188624668E-4
9481	3.464862361258778E-4
9432	3.4647067160331564E-4
8479	3.4610492953589635E-4
1469	3.4596526403916374E-4
5568	3.4575955664202377E-4
8497	3.4547019974844317E-4
2031	3.454217459547473E-4
1562	3.452017761024182E-4
1846	3.4510156357129076E-4
349	3.450918068553418E-4
5553	3.447168980854643E-4
6360	3.4461443958733493E-4
979	3.443062812565948E-4
1923	3.4426761695302907E-4
7555	3.44265734482104E-4
1551	3.4336067466481844E-4
517	3.432934050481782E-4
8285	3.4285905528318454E-4
918	3.428308461937551E-4
1205	3.4273557863864366E-4
8916	3.4250595958404634E-4
149	3.42393514842006E-4
8400	3.4195421005750925E-4
7545	3.4168365340089287E-4
4258	3.410761462257842E-4
9470	3.410138976008783E-4
9948	3.4097250058939924E-4
4875	3.408258991834372E-4
9365	3.407936848207831E-4
7863	3.4072617084133063E-4
6132	3.4069058552098786E-4
3461	3.4067205097104106E-4
7323	3.405483709618351E-4
8266	3.403986224353843E-4
4714	3.403500796457062E-4
9069	3.401440738441899E-4
347	3.3998719914511336E-4
3674	3.396797982586042E-4
8773	3.3957734040082263E-4
5141	3.3935469067236825E-4
8385	3.39282064272952E-4
1614	3.39063159171834E-4
3571	3.387761569575316E-4
5906	3.38620649235507E-4
6815	3.3853218458306867E-4
2702	3.3852404221199745E-4
7960	3.3843055267350415E-4
8145	3.384263143768408E-4
8782	3.382941896912774E-4
2621	3.381612009941996E-4
4573	3.3800436433400235E-4
5985	3.3786387596516503E-4
8954	3.3769869167570254E-4
7540	3.3758425597932344E-4
1657	3.3748298854673953E-4
7033	3.373677773901254E-4
9727	3.3719211976123906E-4
2137	3.3684927919483084E-4
7469	3.366147706637742E-4
9953	3.365790568522757E-4
3116	3.3653792075452653E-4
245	3.3652101902815205E-4
1563	3.3621201500102794E-4
1823	3.362078400510341E-4
6067	3.3616037562311454E-4
2866	3.36027878643254E-4
8896	3.359732331248087E-4
6051	3.357949217907169E-4
1453	3.356078987662375E-4
9032	3.3551342252242407E-4
102	3.352819400346578E-4
2776	3.350838294411218E-4
7078	3.3497432887942427E-4
4307	3.348071970261836E-4
5733	3.34769296933468E-4
3510	3.346475252448066E-4
8378	3.344353151149478E-4
8212	3.3382968790050214E-4
5731	3.3372364897983164E-4
1162	3.3351499569092053E-4
7260	3.3317025047911443E-4
1429	3.331543405439951E-4
7198	3.327756812060746E-4
9826	3.326808579896225E-4
1911	3.3267806367074E-4
778	3.326143155803076E-4
3829	3.325843848646766E-4
2042	3.324367710191119E-4
5583	3.323872705459684E-4
7439	3.321223434793458E-4
3952	3.321141342365502E-4
1790	3.31909352460295E-4
681	3.318687984761548E-4
5334	3.317482602180517E-4
2959	3.3164662542529733E-4
3950	3.3152434281494704E-4
695	3.3107716090403585E-4
4015	3.310484851202105E-4
1236	3.3075187391742666E-4
1833	3.3074503945494833E-4
7278	3.306977548559102E-4
4607	3.3055997838725534E-4
6325	3.30544682448246E-4
4946	3.304663864559132E-4
8006	3.303737441475368E-4
5576	3.3015299793824805E-4
4584	3.3012385355723963E-4
6509	3.3007600258638293E-4
4648	3.2957556905128323E-4
9469	3.2946812681386184E-4
8022	3.294599342909121E-4
2524	3.2915188058202426E-4
5963	3.290406903958885E-4
5228	3.288352537928746E-4
6506	3.2880451059601965E-4
8403	3.287866572204516E-4
6229	3.2866524605427733E-4
7400	3.285089934075822E-4
5342	3.284229154198466E-4
2386	3.282849828672579E-4
3686	3.282666357035952E-4
6794	3.282197242712067E-4
4305	3.281791872702302E-4
5607	3.281101944414949E-4
9442	3.281093534952454E-4
3051	3.2794112766281597E-4
1445	3.279032420846501E-4
9250	3.278242345895697E-4
7898	3.275878648138149E-4
3295	3.274765540897949E-4
7447	3.274365907691584E-4
2405	3.2739231056084974E-4
5103	3.273235542094204E-4
4550	3.2700213726246475E-4
2683	3.2698833264292325E-4
1779	3.2698556090877094E-4
9405	3.269345224282419E-4
3429	3.2692011580442916E-4
5481	3.2678436542833353E-4
5134	3.26736352561079E-4
9863	3.265446874496543E-4
31	3.265218680378448E-4
872	3.264671771277193E-4
9597	3.2634008238536014E-4
152	3.2626352331208266E-4
8421	3.2624147412151013E-4
630	3.261585572556633E-4
7825	3.2615162011071706E-4
1140	3.261280604011447E-4
3753	3.255104622490398E-4
304	3.2533152998946924E-4
3632	3.251974927364053E-4
7365	3.250344065208406E-4
6546	3.249361962506169E-4
4740	3.2480429036113123E-4
5673	3.2477425191371515E-4
5486	3.2456746710836593E-4
4248	3.245464774183361E-4
4980	3.245440717920848E-4
5998	3.24529673050328E-4
6502	3.243624258536796E-4
4621	3.243220853099917E-4
6367	3.2422849578537844E-4
2871	3.2404953253657037E-4
7543	3.235234823952792E-4
8591	3.233710102382563E-4
6422	3.232645529508078E-4
7396	3.232219109047582E-4
2312	3.230838214011568E-4
1249	3.2306463336977695E-4
2125	3.2304157769966863E-4
2670	3.230363948779186E-4
9576	3.2293300577672065E-4
5295	3.2272456977063446E-4
7156	3.226864830944755E-4
1648	3.2266604226417273E-4
5446	3.2204541999018144E-4
7798	3.2202750924979615E-4
4704	3.220072583526069E-4
6120	3.215424515880369E-4
8316	3.213554468765485E-4
5872	3.2129815547794424E-4
2441	3.2128286830247586E-4
5199	3.212382370037664E-4
7686	3.2103394583812936E-4
7699	3.208295793700733E-4
5524	3.2080108915342613E-4
6255	3.207400239316408E-4
2636	3.206576250616149E-4
1003	3.204038410550353E-4
9566	3.2027533195614786E-4
3888	3.2016031372013185E-4
4272	3.2012327836129025E-4
5503	3.1987034221049734E-4
2356	3.197409256271412E-4
8202	3.196202688107444E-4
7140	3.1954933832933956E-4
4165	3.1954352929258793E-4
2215	3.1930022524824286E-4
7982	3.1883934609720413E-4
8269	3.1869910154941106E-4
7907	3.18546292529632E-4
2679	3.1850747757216415E-4
5244	3.18486146296416E-4
9064	3.184721993647089E-4
3547	3.1843789006547366E-4
4428	3.184098842219423E-4
5759	3.1840447991864974E-4
2715	3.183869109909463E-4
1091	3.183181153825858E-4
7184	3.18280014963089E-4
1065	3.1822551606217324E-4
2237	3.179914700324556E-4
3776	3.179233479706972E-4
5485	3.179218171586994E-4
3044	3.175661617651118E-4
41	3.1726198199625563E-4
4473	3.1707586485223225E-4
4419	3.16983371591117E-4
5251	3.1698008613956474E-4
650	3.167922204555968E-4
5659	3.167263939915038E-4
3984	3.1668737825737075E-4
3381	3.166769829412865E-4
6053	3.1662129428166897E-4
271	3.1662073553125145E-4
2071	3.166174287607474E-4
2067	3.1646705540270897E-4
3818	3.162800296347946E-4
1456	3.160714450191655E-4
5622	3.159126121145493E-4
9144	3.1585067255650713E-4
5247	3.1580261692392385E-4
1500	3.156995815022671E-4
5425	3.156681777822555E-4
172	3.156633039653563E-4
8398	3.1552758078762797E-4
4670	3.1523945428385677E-4
5156	3.151917299403492E-4
602	3.1502237310575146E-4
3367	3.1501413132327475E-4
6214	3.148908175577554E-4
1113	3.148527602516161E-4
5473	3.147954579409067E-4
5643	3.147068713772396E-4
2824	3.1467037791470324E-4
3763	3.1457432382724814E-4
3726	3.145307850520188E-4
8754	3.145200355065062E-4
285	3.144529829746463E-4
8199	3.142717168383841E-4
5933	3.1426834775866836E-4
5671	3.141426708460699E-4
7470	3.141237949446323E-4
2490	3.139699117231678E-4
8447	3.139080041669967E-4
8486	3.1379632272853484E-4
4489	3.1378587409346446E-4
9960	3.137689963046845E-4
407	3.136055981259121E-4
3770	3.1356765285975763E-4
6737	3.1342323557788555E-4
3934	3.1338018175823513E-4
1474	3.133587227037876E-4
6806	3.1332021834552326E-4
2018	3.132250673982692E-4
3008	3.131739788312963E-4
5593	3.1313880387923035E-4
745	3.131231299040715E-4
9073	3.1300686564934485E-4
2917	3.128764419680636E-4
1360	3.1281617306336637E-4
2724	3.1268989569878007E-4
7200	3.1265126190017527E-4
5836	3.126398255397512E-4
5185	3.1257936588552105E-4
4755	3.12334119209035E-4
9171	3.123134144561575E-4
7325	3.1223371075348876E-4
1766	3.1216331548498407E-4
119	3.1208873829548944E-4
572	3.120395897685012E-4
8355	3.118929600354742E-4
3658	3.118269790699731E-4
3015	3.1171976476742106E-4
2062	3.1167566721361154E-4
8997	3.1166366584185913E-4
6740	3.1157542418328623E-4
576	3.115462545488502E-4
6903	3.1126991729899233E-4
1627	3.110674312420283E-4
9585	3.110292311948191E-4
5594	3.110032690866727E-4
9926	3.1066506350232325E-4
8731	3.1059901993787996E-4
7778	3.104862012950445E-4
5896	3.104537518526616E-4
9097	3.1028687163867086E-4
1799	3.098254969235074E-4
6219	3.0969487722604545E-4
1613	3.0950181551075165E-4
8540	3.094268206301977E-4
777	3.093652536188377E-4
8270	3.0933942650798675E-4
6014	3.091625254951206E-4
5368	3.091299460505087E-4
1576	3.0904117885854925E-4
8000	3.088236045840418E-4
651	3.0879354971500417E-4
5668	3.0876183764374127E-4
4981	3.0873543201849783E-4
3982	3.0868057016455216E-4
1202	3.085991720857174E-4
2958	3.084569393311578E-4
5753	3.0836210403453333E-4
12	3.08245700989589E-4
849	3.0822821306870907E-4
7835	3.0814658681308784E-4
6047	3.080787372231936E-4
8899	3.080473243446297E-4
8037	3.079918107673335E-4
6955	3.078091840128345E-4
6086	3.0775975483375085E-4
4227	3.077482456463659E-4
6247	3.0764461857024297E-4
1110	3.0742597791171954E-4
5749	3.0742214178879437E-4
4109	3.0740609706117824E-4
3513	3.072728594034877E-4
9414	3.071307336921265E-4
3431	3.070918751466237E-4
9042	3.0689054840531946E-4
8603	3.068547944666439E-4
7974	3.0678192432086735E-4
4920	3.0676919854511923E-4
4287	3.0668907125775476E-4
1100	3.0664072514736946E-4
3516	3.0637134895997566E-4
5969	3.0637020373534623E-4
4006	3.0601663232450866E-4
4865	3.060003690738003E-4
3156	3.059865970221882E-4
8027	3.0594724583405276E-4
9603	3.0565591148250297E-4
7205	3.0563273726499717E-4
6323	3.0559464349118884E-4
1689	3.0558629526045416E-4
3194	3.05559716495814E-4
4005	3.054982772340591E-4
7297	3.0539314806250474E-4
83	3.0537992891701416E-4
8717	3.05369675813253E-4
9945	3.0532797816580686E-4
6249	3.051629917229149E-4
6245	3.050433105229649E-4
4481	3.0495806538681416E-4
6994	3.0490727070369073E-4
6199	3.048909154956551E-4
5088	3.047922092223304E-4
1918	3.0469178151484204E-4
9973	3.046507936992128E-4
472	3.0455719746833027E-4
9251	3.0444461192021726E-4
917	3.0444224224260687E-4
7820	3.043055869260153E-4
5192	3.042988633357313E-4
4978	3.040495755507603E-4
8774	3.039990185026546E-4
8932	3.038908847185097E-4
122	3.038713915667851E-4
4772	3.038333941362561E-4
9706	3.0378032440531394E-4
5513	3.036591794068505E-4
336	3.0364765530080737E-4
874	3.035165058530157E-4
7817	3.034352095147971E-4
1080	3.0329678547760005E-4
8983	3.03251279728742E-4
4136	3.031264276697994E-4
1224	3.031143425222819E-4
3702	3.031012967923403E-4
858	3.0284555103065995E-4
4328	3.027928795908602E-4
3047	3.026765245383062E-4
3678	3.0265214101140165E-4
4449	3.0258543988944824E-4
1208	3.02532548680612E-4
5546	3.024761198879715E-4
1540	3.0244886931783194E-4
7443	3.022869498935814E-4
9646	3.022706798330526E-4
8564	3.022421691312712E-4
4622	3.0220818004588737E-4
6604	3.0219604302337356E-4
4155	3.0213564499116354E-4
669	3.0202762341449127E-4
6085	3.019804474368546E-4
5073	3.0195343038228974E-4
3002	3.019367644602864E-4
2594	3.0190568020006505E-4
131	3.018693593890564E-4
1211	3.0183991517058724E-4
2558	3.0175022681712865E-4
7320	3.0172687499388024E-4
1958	3.0150791120585384E-4
7337	3.014854041568642E-4
9179	3.014437125616416E-4
1191	3.0134872777730007E-4
9173	3.011275596606069E-4
1112	3.008991335026717E-4
1102	3.008484468054086E-4
9051	3.007945772155451E-4
9974	3.007798850247027E-4
1803	3.0066820797335254E-4
7779	3.005999939872248E-4
1805	3.005693239763245E-4
610	3.004413221769247E-4
1856	3.0039122732058293E-4
6377	3.003272402712373E-4
3666	3.002335096796918E-4
3398	3.0014307896579625E-4
8117	3.0006496663262817E-4
8976	3.000533857240764E-4
3973	3.000151111486613E-4
8963	3.0001153699273146E-4
7565	2.9999722232887925E-4
9151	2.9997277618134085E-4
4966	2.9994482355157173E-4
7541	2.999361779030763E-4
1357	2.9985871552499094E-4
6611	2.9975893032785367E-4
3102	2.997569229549613E-4
403	2.997030721267315E-4
2224	2.996242953200783E-4
1046	2.9956063267045784E-4
8568	2.9955632219586306E-4
828	2.9954883120529975E-4
9498	2.993872318224923E-4
9858	2.993612583977994E-4
3088	2.9925627262206655E-4
9175	2.9923315902362504E-4
7928	2.991246848006737E-4
1631	2.9890987963734406E-4
3556	2.9888589528605773E-4
5031	2.988768767744973E-4
5623	2.9883949011219846E-4
6445	2.9883454959254556E-4
9044	2.9866401262452737E-4
3197	2.986527064351539E-4
3585	2.984555724672454E-4
558	2.982398576016978E-4
379	2.9823254645592006E-4
4630	2.9820668996679645E-4
76	2.9819712634040113E-4
1232	2.9809034026590897E-4
4316	2.9783123253798537E-4
80	2.978124675781205E-4
7690	2.977430512791561E-4
8293	2.9769841781061564E-4
2794	2.976771981530227E-4
7917	2.97666813420118E-4
4002	2.976543470762377E-4
5820	2.976026343693359E-4
1410	2.975173574309637E-4
1558	2.9743534811840777E-4
703	2.9734723928207224E-4
8105	2.971956005123721E-4
6556	2.9703019694819017E-4
9684	2.968426074929573E-4
8042	2.9684114514599185E-4
655	2.967978954683037E-4
7322	2.9675789458443277E-4
7610	2.966089247889728E-4
5370	2.965344841388007E-4
5395	2.9651942598644097E-4
8871	2.961866412771005E-4
3698	2.960893679267998E-4
6226	2.959684181038785E-4
4680	2.958964629479634E-4
1395	2.9584348012033087E-4
4406	2.957146642269726E-4
9820	2.9557892422820624E-4
1536	2.9554075271744556E-4
6311	2.952863474309042E-4
9994	2.952635224813564E-4
5022	2.9513783434514994E-4
9146	2.950146559373144E-4
5948	2.947884216895392E-4
7223	2.9478830246792813E-4
7894	2.9467398885789023E-4
7546	2.9460372796603055E-4
754	2.94497108872877E-4
7619	2.9444958787011615E-4
5142	2.944343540690038E-4
6797	2.943009895004167E-4
5507	2.9428967992753863E-4
8499	2.941717877783974E-4
3925	2.941224358852105E-4
944	2.939977628378596E-4
1017	2.9398022254404553E-4
4871	2.9370367081514435E-4
5519	2.936086526900498E-4
3052	2.935006170097622E-4
8441	2.934445621743305E-4
2413	2.9339850665658767E-4
2284	2.9336473919058516E-4
4798	2.931295840615401E-4
3563	2.93103830019745E-4
2409	2.930541342182984E-4
8711	2.930482383714871E-4
1768	2.9299410041108226E-4
1785	2.928720870147074E-4
1240	2.927749832017856E-4
8520	2.927580725892736E-4
4693	2.9259753869727295E-4
7524	2.925646210362769E-4
2721	2.9252632536720354E-4
9155	2.9244519890163633E-4
6839	2.9243357157862133E-4
3495	2.923108483473414E-4
887	2.923107375117382E-4
9312	2.9225017653831747E-4
4770	2.9201025126184113E-4
626	2.9196482558067443E-4
2442	2.918745550523308E-4
3119	2.9175121468195454E-4
7237	2.9169484178291985E-4
6400	2.915809989336986E-4
4643	2.9149641441527117E-4
7126	2.914624338608592E-4
